"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"84","D1ACTD_0H__01_Cell_CP_6_TNF","ACTD","D1","0","TNF",4,2,6,0,0,0
"85","D1ACTD_0H__01_Cell_CP_60_IFN","ACTD","D1","0","IFN",17,5,22,0,0,0
"86","D1ACTD_0H__01_Cell_CP_60_TNF","ACTD","D1","0","TNF",3,2,5,0,0,0
"87","D1ACTD_0H__01_Cell_CP_61_IFN","ACTD","D1","0","IFN",0,1,1,0,0,0
"88","D1ACTD_0H__01_Cell_CP_61_TNF","ACTD","D1","0","TNF",3,1,4,0,0,0
"89","D1ACTD_0H__01_Cell_CP_62_IFN","ACTD","D1","0","IFN",11,18,29,0,0,0
"90","D1ACTD_0H__01_Cell_CP_62_TNF","ACTD","D1","0","TNF",7,12,19,0,0,0
"91","D1ACTD_0H__01_Cell_CP_64_IFN","ACTD","D1","0","IFN",7,5,12,0,0,0
"92","D1ACTD_0H__01_Cell_CP_64_TNF","ACTD","D1","0","TNF",2,10,12,0,0,0
"93","D1ACTD_0H__01_Cell_CP_65_IFN","ACTD","D1","0","IFN",9,5,14,0,0,0
"94","D1ACTD_0H__01_Cell_CP_65_TNF","ACTD","D1","0","TNF",9,4,13,0,0,0
"95","D1ACTD_0H__01_Cell_CP_66_IFN","ACTD","D1","0","IFN",14,9,23,0,0,0
"96","D1ACTD_0H__01_Cell_CP_66_TNF","ACTD","D1","0","TNF",5,5,10,0,0,0
"97","D1ACTD_0H__01_Cell_CP_67_IFN","ACTD","D1","0","IFN",9,3,12,0,0,0
"98","D1ACTD_0H__01_Cell_CP_67_TNF","ACTD","D1","0","TNF",5,5,10,0,0,0
"99","D1ACTD_0H__01_Cell_CP_68_IFN","ACTD","D1","0","IFN",7,20,27,0,0,0
"100","D1ACTD_0H__01_Cell_CP_68_TNF","ACTD","D1","0","TNF",4,4,8,0,0,0
"101","D1ACTD_0H__01_Cell_CP_69_IFN","ACTD","D1","0","IFN",15,25,40,0,0,0
"102","D1ACTD_0H__01_Cell_CP_69_TNF","ACTD","D1","0","TNF",13,8,21,0,0,0
"103","D1ACTD_0H__01_Cell_CP_7_IFN","ACTD","D1","0","IFN",1,12,13,0,0,0
"104","D1ACTD_0H__01_Cell_CP_7_TNF","ACTD","D1","0","TNF",6,4,10,0,0,0
"105","D1ACTD_0H__01_Cell_CP_70_IFN","ACTD","D1","0","IFN",6,7,13,0,0,0
"106","D1ACTD_0H__01_Cell_CP_70_TNF","ACTD","D1","0","TNF",7,2,9,0,0,0
"107","D1ACTD_0H__01_Cell_CP_71_IFN","ACTD","D1","0","IFN",8,6,14,0,0,0
"108","D1ACTD_0H__01_Cell_CP_71_TNF","ACTD","D1","0","TNF",6,4,10,0,0,0
"109","D1ACTD_0H__01_Cell_CP_72_IFN","ACTD","D1","0","IFN",9,5,14,0,0,0
"110","D1ACTD_0H__01_Cell_CP_72_TNF","ACTD","D1","0","TNF",5,8,13,0,0,0
"111","D1ACTD_0H__01_Cell_CP_73_IFN","ACTD","D1","0","IFN",2,3,5,0,0,0
"112","D1ACTD_0H__01_Cell_CP_73_TNF","ACTD","D1","0","TNF",6,1,7,0,0,0
"113","D1ACTD_0H__01_Cell_CP_75_IFN","ACTD","D1","0","IFN",8,5,13,0,0,0
"114","D1ACTD_0H__01_Cell_CP_75_TNF","ACTD","D1","0","TNF",8,4,12,0,0,0
"115","D1ACTD_0H__01_Cell_CP_77_IFN","ACTD","D1","0","IFN",2,4,6,0,0,0
"116","D1ACTD_0H__01_Cell_CP_77_TNF","ACTD","D1","0","TNF",7,3,10,0,0,0
"117","D1ACTD_0H__01_Cell_CP_78_IFN","ACTD","D1","0","IFN",8,5,13,0,0,0
"118","D1ACTD_0H__01_Cell_CP_78_TNF","ACTD","D1","0","TNF",2,2,4,0,0,0
"119","D1ACTD_0H__01_Cell_CP_79_IFN","ACTD","D1","0","IFN",5,4,9,0,0,0
"120","D1ACTD_0H__01_Cell_CP_79_TNF","ACTD","D1","0","TNF",8,1,9,0,0,0
