"","TNF","IFNG","Donor","timepoint","quadrant"
"168",721.308044433594,230.248519897461,"D2","0h","TNF_single_producer"
"169",796.643615722656,613.822143554688,"D2","0h","TNF_single_producer"
"170",614.148010253906,671.986511230469,"D2","0h","TNF_single_producer"
"171",1026.74389648438,457.447479248047,"D2","0h","TNF_single_producer"
"172",652.536926269531,496.561981201172,"D2","0h","TNF_single_producer"
"173",671.387878417969,789.677368164062,"D2","0h","TNF_single_producer"
"174",683.696472167969,483.353942871094,"D2","0h","TNF_single_producer"
"175",631.619750976562,515.554016113281,"D2","0h","TNF_single_producer"
"176",753.968566894531,445.144439697266,"D2","0h","TNF_single_producer"
"177",827.915283203125,415.819274902344,"D2","0h","TNF_single_producer"
"178",926.940856933594,697.774719238281,"D2","0h","TNF_single_producer"
"179",767.42919921875,438.701965332031,"D2","0h","TNF_single_producer"
"180",767.970153808594,339.392700195312,"D2","0h","TNF_single_producer"
"181",654.592041015625,434.334899902344,"D2","0h","TNF_single_producer"
"182",687.047424316406,802.014465332031,"D2","0h","TNF_single_producer"
"183",615.089904785156,443.630157470703,"D2","0h","TNF_single_producer"
"184",985.837768554688,744.820617675781,"D2","0h","TNF_single_producer"
"185",1168.92687988281,676.745788574219,"D2","0h","TNF_single_producer"
"186",756.009338378906,402.021362304688,"D2","0h","TNF_single_producer"
"187",696.36328125,533.11669921875,"D2","0h","TNF_single_producer"
"188",769.955139160156,501.661834716797,"D2","0h","TNF_single_producer"
"189",815.742797851562,667.567138671875,"D2","0h","TNF_single_producer"
"190",825.262817382812,306.45556640625,"D2","0h","TNF_single_producer"
"191",635.345092773438,735.423095703125,"D2","0h","TNF_single_producer"
"192",656.009582519531,730.493225097656,"D2","0h","TNF_single_producer"
"193",654.401306152344,197.234146118164,"D2","0h","TNF_single_producer"
"194",781.670471191406,372.640502929688,"D2","0h","TNF_single_producer"
"195",693.854736328125,313.342834472656,"D2","0h","TNF_single_producer"
"196",661.377990722656,570.939880371094,"D2","0h","TNF_single_producer"
"197",878.935668945312,182.226287841797,"D2","0h","TNF_single_producer"
"198",623.016479492188,473.042297363281,"D2","0h","TNF_single_producer"
"199",1156.34899902344,833.332702636719,"D2","0h","TNF_single_producer"
"200",700.093872070312,746.432312011719,"D2","0h","TNF_single_producer"
"201",914.201293945312,914.081726074219,"D2","0h","TNF_single_producer"
"202",986.016845703125,889.761901855469,"D2","0h","TNF_single_producer"
"203",757.343933105469,947.654052734375,"D2","0h","TNF_single_producer"
"204",1256.08813476562,950.062072753906,"D2","0h","TNF_single_producer"
"205",1377.4111328125,711.951599121094,"D2","0h","TNF_single_producer"
"206",616.404357910156,330.182464599609,"D3","0h","TNF_single_producer"
"207",623.572937011719,464.282196044922,"D3","0h","TNF_single_producer"
"208",779.619689941406,544.199523925781,"D3","0h","TNF_single_producer"
"209",649.655944824219,520.562438964844,"D3","0h","TNF_single_producer"
"210",778.217041015625,473.050476074219,"D3","0h","TNF_single_producer"
"211",664.412170410156,369.053253173828,"D3","0h","TNF_single_producer"
"212",645.276672363281,425.640563964844,"D3","0h","TNF_single_producer"
"213",767.705627441406,530.451599121094,"D3","0h","TNF_single_producer"
"214",648.49951171875,634.335998535156,"D3","0h","TNF_single_producer"
"215",611.902465820312,565.145629882812,"D3","0h","TNF_single_producer"
