"","TNF","IFNG","Donor","timepoint","quadrant"
"43","1356.15563964844","1308.43640136719","D1","1h","double_producer"
"44","738.861450195312","1105.44860839844","D1","1h","double_producer"
"45","595.713684082031","719.544494628906","D1","1h","double_producer"
"46","3068.27368164062","1612.12487792969","D1","1h","double_producer"
"47","2646.400390625","1387.32153320312","D1","1h","double_producer"
"48","843.924072265625","1983.6435546875","D1","1h","double_producer"
"49","1158.32995605469","1747.48193359375","D1","1h","double_producer"
"50","1897.29235839844","1449.03234863281","D1","1h","double_producer"
"51","1899.70642089844","1727.16979980469","D1","1h","double_producer"
"52","832.746459960938","1148.76501464844","D1","1h","double_producer"
"53","826.731079101562","1052.80541992188","D1","1h","double_producer"
"54","2518.90063476562","1298.81665039062","D1","1h","double_producer"
"55","5227.0849609375","1200.35546875","D1","1h","double_producer"
"56","4854.52880859375","1597.05737304688","D1","1h","double_producer"
"57","1956.31420898438","1599.73205566406","D1","1h","double_producer"
"58","754.105529785156","952.860778808594","D1","1h","double_producer"
"59","687.006164550781","1333.21447753906","D1","1h","double_producer"
"60","652.818786621094","852.537658691406","D1","1h","double_producer"
"61","932.979675292969","848.567443847656","D1","1h","double_producer"
"62","966.89794921875","1366.27905273438","D1","1h","double_producer"
"63","1872.14477539062","1941.03540039062","D1","1h","double_producer"
"64","884.882629394531","1368.22839355469","D1","1h","double_producer"
"65","676.060729980469","956.438842773438","D1","1h","double_producer"
"66","1704.59631347656","1226.53625488281","D1","1h","double_producer"
"67","1262.23986816406","1077.79028320312","D1","1h","double_producer"
"68","1843.48461914062","1877.86206054688","D1","1h","double_producer"
"69","2037.07629394531","835.000061035156","D1","1h","double_producer"
"70","841.775268554688","1029.21228027344","D1","1h","double_producer"
"71","1106.14233398438","1554.85046386719","D1","1h","double_producer"
"72","1018.46276855469","1742.68408203125","D1","1h","double_producer"
"73","882.466918945312","1139.42553710938","D1","1h","double_producer"
"74","959.753479003906","1131.20434570312","D1","1h","double_producer"
"75","4268.919921875","1617.69213867188","D1","1h","double_producer"
"76","2937.76708984375","2037.228515625","D1","1h","double_producer"
"77","4023.0107421875","1185.20910644531","D1","1h","double_producer"
"78","1583.30529785156","1030.38720703125","D1","1h","double_producer"
"79","2035.1572265625","1227.44421386719","D1","1h","double_producer"
"80","3932.447265625","1235.48876953125","D1","1h","double_producer"
"81","674.414916992188","1067.564453125","D1","1h","double_producer"
"82","714.300903320312","926.358764648438","D1","1h","double_producer"
"83","986.400024414062","1005.54046630859","D1","1h","double_producer"
"84","658.845275878906","1084.39990234375","D1","1h","double_producer"
"85","792.730102539062","1166.12121582031","D1","1h","double_producer"
"86","4847.77099609375","1094.2236328125","D1","1h","double_producer"
"87","912.780151367188","995.535400390625","D1","1h","double_producer"
"88","832.414794921875","930.769775390625","D1","1h","double_producer"
"89","745.611450195312","958.151489257812","D1","1h","double_producer"
"90","716.133911132812","1235.53186035156","D1","1h","double_producer"
"91","1562.13488769531","1522.66857910156","D1","1h","double_producer"
"92","970.996826171875","1118.76123046875","D1","1h","double_producer"
"93","1366.85925292969","1114.85754394531","D1","1h","double_producer"
"94","752.776794433594","567.439270019531","D1","1h","double_producer"
"95","2564.30712890625","1131.16943359375","D1","1h","double_producer"
"96","1241.51904296875","1108.82495117188","D1","1h","double_producer"
"97","1745.21887207031","1123.39184570312","D1","1h","double_producer"
"98","845.898559570312","1340.77551269531","D1","1h","double_producer"
"99","1320.33044433594","921.276123046875","D1","1h","double_producer"
"100","1189.73266601562","1181.39587402344","D1","1h","double_producer"
"101","4562.224609375","1476.60546875","D1","1h","double_producer"
"102","791.781127929688","1107.90222167969","D1","1h","double_producer"
"103","931.4013671875","1479.4345703125","D1","1h","double_producer"
"104","4965.87158203125","2021.24682617188","D1","1h","double_producer"
"105","721.019714355469","1068.34326171875","D1","1h","double_producer"
"106","986.910278320312","1092.00402832031","D1","1h","double_producer"
"107","1315.74963378906","1092.38500976562","D1","1h","double_producer"
"108","5957.6572265625","1194.13537597656","D1","1h","double_producer"
"109","2713.61303710938","1184.91650390625","D1","1h","double_producer"
"110","935.981750488281","1645.765625","D1","1h","double_producer"
"111","1985.70202636719","1150.66528320312","D1","1h","double_producer"
"112","1245.61853027344","1484.64807128906","D1","1h","double_producer"
"113","1549.71655273438","1629.1337890625","D1","1h","double_producer"
"114","1254.71350097656","1096.05517578125","D1","1h","double_producer"
"115","1246.29321289062","897.401611328125","D1","1h","double_producer"
"116","620.791137695312","1567.45776367188","D1","1h","double_producer"
"117","656.677917480469","1328.09521484375","D1","1h","double_producer"
"118","2956.67993164062","1053.05541992188","D1","1h","double_producer"
"119","6560.4482421875","1358.626953125","D1","1h","double_producer"
