"","IFNG","TNF","Donor","timepoint","quadrant","condition"
"194","780.941162109375","2022.12805175781","D1","1h","TNF_single_producer","KO"
"195","1458.3779296875","22332.72265625","D1","1h","TNF_single_producer","KO"
"196","1297.70434570312","5751.3466796875","D1","1h","TNF_single_producer","KO"
"197","897.080139160156","1598.1474609375","D1","1h","TNF_single_producer","KO"
"198","731.46142578125","6973.25","D1","1h","TNF_single_producer","KO"
"199","882.264709472656","5629.41455078125","D1","1h","TNF_single_producer","KO"
"200","650.852783203125","2799.11547851562","D1","1h","TNF_single_producer","KO"
"201","899.126342773438","6037.6904296875","D1","1h","TNF_single_producer","KO"
"202","881.384094238281","536.638977050781","D1","1h","TNF_single_producer","KO"
"203","1002.74816894531","1251.98388671875","D1","1h","TNF_single_producer","KO"
"204","743.84619140625","1087.70849609375","D1","1h","TNF_single_producer","KO"
"205","532.200378417969","3110.5810546875","D1","1h","TNF_single_producer","KO"
"206","538.047790527344","681.94580078125","D1","1h","TNF_single_producer","KO"
"207","1290.248046875","3726.02954101562","D1","1h","TNF_single_producer","KO"
"208","448.417327880859","636.456909179688","D1","1h","TNF_single_producer","KO"
"209","1477.64660644531","1484.16381835938","D1","1h","TNF_single_producer","KO"
"210","1134.85864257812","6983.26171875","D1","1h","TNF_single_producer","KO"
"211","1162.42956542969","1397.03051757812","D1","1h","TNF_single_producer","KO"
"212","1301.70947265625","8694.9296875","D1","1h","TNF_single_producer","KO"
"213","767.341674804688","1549.50146484375","D1","1h","TNF_single_producer","KO"
"214","642.633361816406","4995.08837890625","D1","1h","TNF_single_producer","KO"
"215","1205.18212890625","9337.294921875","D1","1h","TNF_single_producer","KO"
"216","1173.05395507812","892.441772460938","D1","1h","TNF_single_producer","KO"
"217","1089.11071777344","28110.861328125","D1","1h","TNF_single_producer","KO"
"218","468.516052246094","1745.416015625","D1","1h","TNF_single_producer","KO"
"219","1178.49267578125","9214.267578125","D1","1h","TNF_single_producer","KO"
"220","537.733825683594","663.82763671875","D1","1h","TNF_single_producer","KO"
"221","818.688415527344","1481.83532714844","D1","1h","TNF_single_producer","KO"
"222","666.922790527344","18152.6875","D1","1h","TNF_single_producer","KO"
"223","1124.79150390625","12045.20703125","D1","1h","TNF_single_producer","KO"
"224","836.648010253906","1586.521484375","D1","1h","TNF_single_producer","KO"
"225","1098.30810546875","5303.87158203125","D1","1h","TNF_single_producer","KO"
"226","814.435119628906","676.207702636719","D1","1h","TNF_single_producer","KO"
"227","1315.51953125","2992.43481445312","D1","1h","TNF_single_producer","KO"
"228","993.494445800781","1434.46447753906","D1","1h","TNF_single_producer","KO"
"229","542.450378417969","3815.900390625","D1","1h","TNF_single_producer","KO"
"230","386.783325195312","726.299682617188","D1","1h","TNF_single_producer","KO"
"231","932.328369140625","17580.326171875","D1","1h","TNF_single_producer","KO"
"232","1316.80920410156","8891.5361328125","D1","1h","TNF_single_producer","KO"
"233","1563.39221191406","8999.158203125","D1","1h","TNF_single_producer","KO"
"234","1440.07727050781","4389.28466796875","D1","1h","TNF_single_producer","KO"
"235","1487.80944824219","2200.02124023438","D1","1h","TNF_single_producer","KO"
"236","1099.36645507812","12317.359375","D1","1h","TNF_single_producer","KO"
"237","534.3466796875","901.866882324219","D1","1h","TNF_single_producer","KO"
"238","1435.50463867188","887.041748046875","D1","1h","TNF_single_producer","KO"
"239","1382.72717285156","3965.26977539062","D1","1h","TNF_single_producer","KO"
"240","892.267639160156","1768.49047851562","D1","1h","TNF_single_producer","KO"
"241","1248.53295898438","4855.814453125","D1","1h","TNF_single_producer","KO"
"242","629.099670410156","829.012573242188","D1","1h","TNF_single_producer","KO"
"243","1536.26684570312","1786.11193847656","D1","1h","TNF_single_producer","KO"
"244","1283.10046386719","13988.9580078125","D1","1h","TNF_single_producer","KO"
"245","1207.59497070312","8590.6552734375","D1","1h","TNF_single_producer","KO"
"246","1267.71142578125","18038.9296875","D1","1h","TNF_single_producer","KO"
"247","881.368591308594","3444.25024414062","D1","1h","TNF_single_producer","KO"
"248","434.783203125","8480.275390625","D1","1h","TNF_single_producer","KO"
"249","1320.04321289062","3095.84350585938","D1","1h","TNF_single_producer","KO"
"250","1341.12744140625","2419.57861328125","D1","1h","TNF_single_producer","KO"
"251","1025.17944335938","3198.82958984375","D1","1h","TNF_single_producer","KO"
"252","284.574645996094","544.112487792969","D1","1h","TNF_single_producer","KO"
"253","893.392578125","943.388671875","D1","1h","TNF_single_producer","KO"
"254","1501.39404296875","7176.42431640625","D1","1h","TNF_single_producer","KO"
"255","1224.9013671875","2296.92797851562","D1","1h","TNF_single_producer","KO"
"256","797.463073730469","1646.24340820312","D1","1h","TNF_single_producer","KO"
"257","1397.47338867188","12778.0009765625","D1","1h","TNF_single_producer","KO"
"258","520.504333496094","577.671997070312","D1","1h","TNF_single_producer","KO"
"259","1400.26770019531","13911.470703125","D1","1h","TNF_single_producer","KO"
"260","929.758972167969","1927.52758789062","D1","1h","TNF_single_producer","KO"
"261","819.059265136719","1323.658203125","D1","1h","TNF_single_producer","KO"
"262","1380.818359375","6387.4130859375","D1","1h","TNF_single_producer","KO"
"263","1010.19500732422","6183.68408203125","D1","1h","TNF_single_producer","KO"
"264","984.577514648438","3217.84887695312","D1","1h","TNF_single_producer","KO"
"265","1420.20288085938","13152.9189453125","D1","1h","TNF_single_producer","KO"
"266","1450.42663574219","699.100952148438","D1","1h","TNF_single_producer","KO"
"267","758.813415527344","15041.1083984375","D1","1h","TNF_single_producer","KO"
"268","1138.38000488281","818.079895019531","D1","1h","TNF_single_producer","KO"
"269","575.564880371094","2554.83520507812","D1","1h","TNF_single_producer","KO"
"270","626.381286621094","1259.25415039062","D1","1h","TNF_single_producer","KO"
"271","925.332458496094","2572.7509765625","D1","1h","TNF_single_producer","KO"
"272","656.054321289062","1127.48352050781","D1","1h","TNF_single_producer","KO"
"273","409.427947998047","1481.29699707031","D1","1h","TNF_single_producer","KO"
"274","855.438293457031","18831.984375","D1","1h","TNF_single_producer","KO"
"275","1467.27770996094","10255.0810546875","D1","1h","TNF_single_producer","KO"
"276","1253.51318359375","1639.40087890625","D1","1h","TNF_single_producer","KO"
"277","1138.01635742188","2054.99438476562","D1","1h","TNF_single_producer","KO"
"278","618.660583496094","872.609252929688","D1","1h","TNF_single_producer","KO"
