"","IFNG","TNF","Donor","timepoint","quadrant","NA"
"265","3770.33544921875","8251.91796875","D1","1h","double_producer","KO"
"266","2918.11694335938","15420.3662109375","D1","1h","double_producer","KO"
"267","4128.2451171875","13398.8642578125","D1","1h","double_producer","KO"
"268","1657.31372070312","5289.3291015625","D1","1h","double_producer","KO"
"269","2199.072265625","7956.14453125","D1","1h","double_producer","KO"
"270","2189.099609375","3841.76123046875","D1","1h","double_producer","KO"
"271","1786.26037597656","10621.234375","D1","1h","double_producer","KO"
"272","2365.03271484375","13362.4375","D1","1h","double_producer","KO"
"273","3993.75854492188","7158.39453125","D1","1h","double_producer","KO"
"274","2224.580078125","3694.66918945312","D1","1h","double_producer","KO"
"275","2852.19897460938","9628.927734375","D1","1h","double_producer","KO"
"276","2123.76831054688","2121.45556640625","D1","1h","double_producer","KO"
"277","4831.3271484375","39237.9140625","D1","1h","double_producer","KO"
"278","2914.95971679688","1853.58422851562","D1","1h","double_producer","KO"
"279","2529.95947265625","9326.10546875","D1","1h","double_producer","KO"
"280","1819.56909179688","6047.8076171875","D1","1h","double_producer","KO"
"281","3723.49145507812","9255.25","D1","1h","double_producer","KO"
"282","3852.40234375","27916.70703125","D1","1h","double_producer","KO"
"283","4309.201171875","12745.3671875","D1","1h","double_producer","KO"
"284","2616.19165039062","17307.626953125","D1","1h","double_producer","KO"
"285","3651.60302734375","12351.0849609375","D1","1h","double_producer","KO"
"286","3420.755859375","6491.859375","D1","1h","double_producer","KO"
"287","8242.453125","24852.107421875","D1","1h","double_producer","KO"
"288","4061.94555664062","32095.583984375","D1","1h","double_producer","KO"
"289","3904.33984375","8611.5634765625","D1","1h","double_producer","KO"
"290","2631.3974609375","6189.2919921875","D1","1h","double_producer","KO"
"291","3836.18725585938","6315.60595703125","D1","1h","double_producer","KO"
"292","2172.5048828125","13605.599609375","D1","1h","double_producer","KO"
"293","1902.75830078125","2168.08178710938","D1","1h","double_producer","KO"
"294","3456.8720703125","14775.2451171875","D1","1h","double_producer","KO"
"295","3378.49609375","7034.65576171875","D1","1h","double_producer","KO"
"296","2695.68115234375","8383.044921875","D1","1h","double_producer","KO"
"297","2939.46655273438","8078.07568359375","D1","1h","double_producer","KO"
"298","1852.99084472656","13621.8896484375","D1","1h","double_producer","KO"
"299","1955.55212402344","4775.533203125","D1","1h","double_producer","KO"
"300","1756.76025390625","2394.8955078125","D1","1h","double_producer","KO"
"301","6415.908203125","23848.19921875","D1","1h","double_producer","KO"
"302","5994.794921875","22976.88671875","D1","1h","double_producer","KO"
"303","3194.17626953125","15981.8017578125","D1","1h","double_producer","KO"
"304","2831.33959960938","13440.5712890625","D1","1h","double_producer","KO"
"305","2551.1181640625","2945.8212890625","D1","1h","double_producer","KO"
"306","4013.47021484375","17714.46875","D1","1h","double_producer","KO"
"307","3125.38842773438","2651.02563476562","D1","1h","double_producer","KO"
"308","1700.875","4006.30883789062","D1","1h","double_producer","KO"
"309","2229.06811523438","20548.166015625","D1","1h","double_producer","KO"
"310","4562.60107421875","20239.412109375","D1","1h","double_producer","KO"
"311","1923.95764160156","1372.77502441406","D1","1h","double_producer","KO"
"312","1944.59240722656","2454.7412109375","D1","1h","double_producer","KO"
"313","2811.09057617188","1611.78186035156","D1","1h","double_producer","KO"
"314","1867.53576660156","10616.87109375","D1","1h","double_producer","KO"
"315","2509.31762695312","4896.8154296875","D1","1h","double_producer","KO"
"316","4517.37646484375","12757.2900390625","D1","1h","double_producer","KO"
"317","2684.25854492188","6106.865234375","D1","1h","double_producer","KO"
"318","5151.0908203125","6022.45703125","D1","1h","double_producer","KO"
"319","2308.13842773438","3533.783203125","D1","1h","double_producer","KO"
"320","5261.73388671875","26345.07421875","D1","1h","double_producer","KO"
"321","3673.40380859375","22693.466796875","D1","1h","double_producer","KO"
"322","2014.99340820312","5465.4033203125","D1","1h","double_producer","KO"
"323","2437.10278320312","1168.94677734375","D1","1h","double_producer","KO"
"324","1655.03051757812","8062.4169921875","D1","1h","double_producer","KO"
"325","3365.89282226562","17752.62109375","D1","1h","double_producer","KO"
"326","3441.173828125","18707.0625","D1","1h","double_producer","KO"
"327","1798.01635742188","4777.4443359375","D1","1h","double_producer","KO"
"328","2198.27685546875","6386.8876953125","D1","1h","double_producer","KO"
"329","2851.4140625","15438.8779296875","D1","1h","double_producer","KO"
"330","2502.60693359375","1018.2783203125","D1","1h","double_producer","KO"
"331","3115.4189453125","24027.955078125","D1","1h","double_producer","KO"
"332","2927.04809570312","13010.080078125","D1","1h","double_producer","KO"
"333","1801.7490234375","5243.1005859375","D1","1h","double_producer","KO"
"334","2193.46459960938","6701.32421875","D1","1h","double_producer","KO"
"335","4547.50048828125","8557.0498046875","D1","1h","double_producer","KO"
"336","1649.54016113281","9340.48828125","D1","1h","double_producer","KO"
"337","1874.89379882812","17690.6953125","D1","1h","double_producer","KO"
"338","2200.16796875","2852.29516601562","D1","1h","double_producer","KO"
"339","1837.87072753906","3443.65551757812","D1","1h","double_producer","KO"
"340","5445.1796875","9483.404296875","D1","1h","double_producer","KO"
"341","2468.29809570312","10172.2392578125","D1","1h","double_producer","KO"
"342","2839.94702148438","1829.53698730469","D1","1h","double_producer","KO"
"343","2006.67016601562","7106.01123046875","D1","1h","double_producer","KO"
"344","2871.31640625","21684.111328125","D1","1h","double_producer","KO"
"345","3084.05981445312","7052.1025390625","D1","1h","double_producer","KO"
"346","2862.70361328125","6903.80029296875","D1","1h","double_producer","KO"
"347","2267.75463867188","3533.25366210938","D1","1h","double_producer","KO"
"348","1647.23803710938","11109.16015625","D1","1h","double_producer","KO"
"349","2420.40576171875","1999.79516601562","D1","1h","double_producer","KO"
"350","3073.97583007812","4807.97119140625","D1","1h","double_producer","KO"
