"","ID","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"2371","D1_2HCD3CD28_04_Cell_CP_109_IFN","D1","2","IFN",1,1,2,0,0,0
"2373","D1_2HCD3CD28_04_Cell_CP_11_IFN","D1","2","IFN",0,1,1,0,0,0
"2374","D1_2HCD3CD28_04_Cell_CP_11_TNF","D1","2","TNF",40,31,71,6,5,11
"2375","D1_2HCD3CD28_04_Cell_CP_110_IFN","D1","2","IFN",9,6,15,0,0,0
"2376","D1_2HCD3CD28_04_Cell_CP_110_TNF","D1","2","TNF",9,5,14,0,0,0
"2377","D1_2HCD3CD28_04_Cell_CP_111_IFN","D1","2","IFN",89,36,125,0,0,0
"2378","D1_2HCD3CD28_04_Cell_CP_111_TNF","D1","2","TNF",16,15,31,0,0,0
"2379","D1_2HCD3CD28_04_Cell_CP_112_IFN","D1","2","IFN",0,1,1,0,0,0
"2380","D1_2HCD3CD28_04_Cell_CP_112_TNF","D1","2","TNF",51,19,70,8,3,11
"2381","D1_2HCD3CD28_04_Cell_CP_113_IFN","D1","2","IFN",2,0,2,0,0,0
"2384","D1_2HCD3CD28_04_Cell_CP_115_TNF","D1","2","TNF",0,1,1,0,0,0
"2385","D1_2HCD3CD28_04_Cell_CP_116_IFN","D1","2","IFN",0,1,1,0,0,0
"2387","D1_2HCD3CD28_04_Cell_CP_117_IFN","D1","2","IFN",27,15,42,0,0,0
"2388","D1_2HCD3CD28_04_Cell_CP_117_TNF","D1","2","TNF",8,5,13,0,0,0
"2389","D1_2HCD3CD28_04_Cell_CP_118_IFN","D1","2","IFN",80,11,91,6,0,6
"2390","D1_2HCD3CD28_04_Cell_CP_118_TNF","D1","2","TNF",15,8,23,0,0,0
"2391","D1_2HCD3CD28_04_Cell_CP_119_IFN","D1","2","IFN",0,5,5,0,0,0
"2392","D1_2HCD3CD28_04_Cell_CP_119_TNF","D1","2","TNF",1,0,1,0,0,0
"2393","D1_2HCD3CD28_04_Cell_CP_12_IFN","D1","2","IFN",4,0,4,0,0,0
"2394","D1_2HCD3CD28_04_Cell_CP_12_TNF","D1","2","TNF",11,1,12,0,0,0
"2395","D1_2HCD3CD28_04_Cell_CP_120_IFN","D1","2","IFN",2,1,3,0,0,0
"2396","D1_2HCD3CD28_04_Cell_CP_120_TNF","D1","2","TNF",8,5,13,0,0,0
"2397","D1_2HCD3CD28_04_Cell_CP_122_IFN","D1","2","IFN",9,3,12,0,0,0
"2398","D1_2HCD3CD28_04_Cell_CP_122_TNF","D1","2","TNF",5,2,7,0,0,0
"2399","D1_2HCD3CD28_04_Cell_CP_123_IFN","D1","2","IFN",1,0,1,0,0,0
"2400","D1_2HCD3CD28_04_Cell_CP_123_TNF","D1","2","TNF",1,0,1,0,0,0
"2401","D1_2HCD3CD28_04_Cell_CP_124_IFN","D1","2","IFN",1,2,3,0,0,0
"2404","D1_2HCD3CD28_04_Cell_CP_125_TNF","D1","2","TNF",5,0,5,0,0,0
"2405","D1_2HCD3CD28_04_Cell_CP_126_IFN","D1","2","IFN",94,31,125,4,0,4
"2406","D1_2HCD3CD28_04_Cell_CP_126_TNF","D1","2","TNF",6,11,17,4,0,4
"2407","D1_2HCD3CD28_04_Cell_CP_127_IFN","D1","2","IFN",2,1,3,0,0,0
"2408","D1_2HCD3CD28_04_Cell_CP_127_TNF","D1","2","TNF",1,0,1,0,0,0
"2409","D1_2HCD3CD28_04_Cell_CP_128_IFN","D1","2","IFN",23,10,33,0,0,0
"2410","D1_2HCD3CD28_04_Cell_CP_128_TNF","D1","2","TNF",12,14,26,0,0,0
"2411","D1_2HCD3CD28_04_Cell_CP_129_IFN","D1","2","IFN",0,1,1,0,0,0
"2413","D1_2HCD3CD28_04_Cell_CP_13_IFN","D1","2","IFN",1,0,1,0,0,0
"2414","D1_2HCD3CD28_04_Cell_CP_13_TNF","D1","2","TNF",8,2,10,0,0,0
"2415","D1_2HCD3CD28_04_Cell_CP_131_IFN","D1","2","IFN",1,1,2,0,0,0
"2417","D1_2HCD3CD28_04_Cell_CP_133_IFN","D1","2","IFN",0,2,2,0,0,0
"2418","D1_2HCD3CD28_04_Cell_CP_133_TNF","D1","2","TNF",14,4,18,5,3,8
"2419","D1_2HCD3CD28_04_Cell_CP_134_IFN","D1","2","IFN",1,1,2,0,0,0
"2420","D1_2HCD3CD28_04_Cell_CP_134_TNF","D1","2","TNF",1,1,2,0,0,0
"2421","D1_2HCD3CD28_04_Cell_CP_135_IFN","D1","2","IFN",16,12,28,0,0,0
"2422","D1_2HCD3CD28_04_Cell_CP_135_TNF","D1","2","TNF",8,5,13,0,0,0
"2423","D1_2HCD3CD28_04_Cell_CP_136_IFN","D1","2","IFN",6,3,9,0,0,0
"2424","D1_2HCD3CD28_04_Cell_CP_136_TNF","D1","2","TNF",3,1,4,0,0,0
"2428","D1_2HCD3CD28_04_Cell_CP_138_TNF","D1","2","TNF",0,1,1,0,0,0
"2430","D1_2HCD3CD28_04_Cell_CP_139_TNF","D1","2","TNF",5,3,8,0,0,0
"2431","D1_2HCD3CD28_04_Cell_CP_140_IFN","D1","2","IFN",1,0,1,0,0,0
"2434","D1_2HCD3CD28_04_Cell_CP_141_TNF","D1","2","TNF",35,6,41,0,0,0
"2435","D1_2HCD3CD28_04_Cell_CP_143_IFN","D1","2","IFN",0,1,1,0,0,0
"2436","D1_2HCD3CD28_04_Cell_CP_143_TNF","D1","2","TNF",4,0,4,0,0,0
"2437","D1_2HCD3CD28_04_Cell_CP_144_IFN","D1","2","IFN",0,2,2,0,0,0
"2438","D1_2HCD3CD28_04_Cell_CP_144_TNF","D1","2","TNF",0,1,1,0,0,0
"2441","D1_2HCD3CD28_04_Cell_CP_16_IFN","D1","2","IFN",0,1,1,0,0,0
"2443","D1_2HCD3CD28_04_Cell_CP_17_IFN","D1","2","IFN",8,10,18,0,0,0
"2444","D1_2HCD3CD28_04_Cell_CP_17_TNF","D1","2","TNF",13,14,27,0,0,0
"2445","D1_2HCD3CD28_04_Cell_CP_18_IFN","D1","2","IFN",1,0,1,0,0,0
"2446","D1_2HCD3CD28_04_Cell_CP_18_TNF","D1","2","TNF",25,14,39,4,0,4
"2449","D1_2HCD3CD28_04_Cell_CP_20_IFN","D1","2","IFN",5,2,7,0,0,0
"2450","D1_2HCD3CD28_04_Cell_CP_20_TNF","D1","2","TNF",14,7,21,0,0,0
"2452","D1_2HCD3CD28_04_Cell_CP_21_TNF","D1","2","TNF",1,0,1,0,0,0
"2455","D1_2HCD3CD28_04_Cell_CP_23_IFN","D1","2","IFN",10,8,18,0,0,0
"2456","D1_2HCD3CD28_04_Cell_CP_23_TNF","D1","2","TNF",10,12,22,0,0,0
"2457","D1_2HCD3CD28_04_Cell_CP_25_IFN","D1","2","IFN",2,3,5,0,0,0
"2458","D1_2HCD3CD28_04_Cell_CP_25_TNF","D1","2","TNF",1,2,3,0,0,0
"2459","D1_2HCD3CD28_04_Cell_CP_27_IFN","D1","2","IFN",9,13,22,0,0,0
"2460","D1_2HCD3CD28_04_Cell_CP_27_TNF","D1","2","TNF",11,22,33,0,0,0
"2461","D1_2HCD3CD28_04_Cell_CP_28_IFN","D1","2","IFN",3,0,3,0,0,0
"2462","D1_2HCD3CD28_04_Cell_CP_28_TNF","D1","2","TNF",16,4,20,4,0,4
"2463","D1_2HCD3CD28_04_Cell_CP_29_IFN","D1","2","IFN",13,19,32,0,0,0
"2464","D1_2HCD3CD28_04_Cell_CP_29_TNF","D1","2","TNF",4,2,6,0,0,0
"2466","D1_2HCD3CD28_04_Cell_CP_30_TNF","D1","2","TNF",4,0,4,0,0,0
"2469","D1_2HCD3CD28_04_Cell_CP_33_IFN","D1","2","IFN",17,10,27,0,0,0
"2470","D1_2HCD3CD28_04_Cell_CP_33_TNF","D1","2","TNF",7,6,13,0,0,0
"2471","D1_2HCD3CD28_04_Cell_CP_34_IFN","D1","2","IFN",1,1,2,0,0,0
"2473","D1_2HCD3CD28_04_Cell_CP_35_IFN","D1","2","IFN",1,2,3,0,0,0
"2474","D1_2HCD3CD28_04_Cell_CP_35_TNF","D1","2","TNF",1,0,1,0,0,0
"2476","D1_2HCD3CD28_04_Cell_CP_36_TNF","D1","2","TNF",2,1,3,0,0,0
"2481","D1_2HCD3CD28_04_Cell_CP_39_IFN","D1","2","IFN",24,19,43,3,0,3
"2482","D1_2HCD3CD28_04_Cell_CP_39_TNF","D1","2","TNF",1,1,2,0,0,0
"2483","D1_2HCD3CD28_04_Cell_CP_4_IFN","D1","2","IFN",0,1,1,0,0,0
"2486","D1_2HCD3CD28_04_Cell_CP_41_TNF","D1","2","TNF",1,1,2,0,0,0
"2487","D1_2HCD3CD28_04_Cell_CP_42_IFN","D1","2","IFN",2,0,2,0,0,0
"2488","D1_2HCD3CD28_04_Cell_CP_42_TNF","D1","2","TNF",7,6,13,0,0,0
"2489","D1_2HCD3CD28_04_Cell_CP_43_IFN","D1","2","IFN",1,0,1,0,0,0
"2490","D1_2HCD3CD28_04_Cell_CP_43_TNF","D1","2","TNF",1,0,1,0,0,0
"2493","D1_2HCD3CD28_04_Cell_CP_45_IFN","D1","2","IFN",2,7,9,0,0,0
"2494","D1_2HCD3CD28_04_Cell_CP_45_TNF","D1","2","TNF",13,27,40,5,0,5
"2495","D1_2HCD3CD28_04_Cell_CP_46_IFN","D1","2","IFN",9,5,14,0,0,0
"2496","D1_2HCD3CD28_04_Cell_CP_46_TNF","D1","2","TNF",3,4,7,0,0,0
"2498","D1_2HCD3CD28_04_Cell_CP_47_TNF","D1","2","TNF",0,1,1,0,0,0
"2501","D1_2HCD3CD28_04_Cell_CP_49_IFN","D1","2","IFN",0,1,1,0,0,0
"2502","D1_2HCD3CD28_04_Cell_CP_49_TNF","D1","2","TNF",2,2,4,0,0,0
"2504","D1_2HCD3CD28_04_Cell_CP_5_TNF","D1","2","TNF",5,6,11,0,0,0
"2506","D1_2HCD3CD28_04_Cell_CP_50_TNF","D1","2","TNF",7,9,16,3,0,3
"2507","D1_2HCD3CD28_04_Cell_CP_54_IFN","D1","2","IFN",13,7,20,0,0,0
"2508","D1_2HCD3CD28_04_Cell_CP_54_TNF","D1","2","TNF",6,5,11,0,0,0
"2509","D1_2HCD3CD28_04_Cell_CP_55_IFN","D1","2","IFN",22,12,34,3,0,3
"2510","D1_2HCD3CD28_04_Cell_CP_55_TNF","D1","2","TNF",4,4,8,0,0,0
"2511","D1_2HCD3CD28_04_Cell_CP_56_IFN","D1","2","IFN",7,8,15,0,0,0
"2512","D1_2HCD3CD28_04_Cell_CP_56_TNF","D1","2","TNF",8,9,17,0,0,0
"2513","D1_2HCD3CD28_04_Cell_CP_57_IFN","D1","2","IFN",2,0,2,0,0,0
"2514","D1_2HCD3CD28_04_Cell_CP_57_TNF","D1","2","TNF",2,0,2,0,0,0
"2516","D1_2HCD3CD28_04_Cell_CP_58_TNF","D1","2","TNF",4,0,4,0,0,0
"2517","D1_2HCD3CD28_04_Cell_CP_59_IFN","D1","2","IFN",3,4,7,0,0,0
"2518","D1_2HCD3CD28_04_Cell_CP_59_TNF","D1","2","TNF",5,1,6,0,0,0
"2521","D1_2HCD3CD28_04_Cell_CP_60_IFN","D1","2","IFN",1,0,1,0,0,0
"2523","D1_2HCD3CD28_04_Cell_CP_61_IFN","D1","2","IFN",2,6,8,0,0,0
"2525","D1_2HCD3CD28_04_Cell_CP_62_IFN","D1","2","IFN",0,1,1,0,0,0
"2528","D1_2HCD3CD28_04_Cell_CP_64_TNF","D1","2","TNF",1,0,1,0,0,0
"2530","D1_2HCD3CD28_04_Cell_CP_66_TNF","D1","2","TNF",7,0,7,0,0,0
"2531","D1_2HCD3CD28_04_Cell_CP_67_IFN","D1","2","IFN",4,3,7,0,0,0
"2532","D1_2HCD3CD28_04_Cell_CP_67_TNF","D1","2","TNF",4,6,10,0,0,0
"2533","D1_2HCD3CD28_04_Cell_CP_68_IFN","D1","2","IFN",1,2,3,0,0,0
"2534","D1_2HCD3CD28_04_Cell_CP_68_TNF","D1","2","TNF",3,9,12,0,0,0
"2535","D1_2HCD3CD28_04_Cell_CP_69_IFN","D1","2","IFN",5,0,5,0,0,0
"2536","D1_2HCD3CD28_04_Cell_CP_69_TNF","D1","2","TNF",48,14,62,5,5,10
"2537","D1_2HCD3CD28_04_Cell_CP_7_IFN","D1","2","IFN",12,10,22,0,0,0
"2538","D1_2HCD3CD28_04_Cell_CP_7_TNF","D1","2","TNF",4,6,10,0,0,0
"2539","D1_2HCD3CD28_04_Cell_CP_70_IFN","D1","2","IFN",0,2,2,0,0,0
"2541","D1_2HCD3CD28_04_Cell_CP_71_IFN","D1","2","IFN",0,1,1,0,0,0
"2542","D1_2HCD3CD28_04_Cell_CP_71_TNF","D1","2","TNF",1,9,10,0,0,0
"2543","D1_2HCD3CD28_04_Cell_CP_72_IFN","D1","2","IFN",30,14,44,0,0,0
"2544","D1_2HCD3CD28_04_Cell_CP_72_TNF","D1","2","TNF",1,0,1,0,0,0
"2545","D1_2HCD3CD28_04_Cell_CP_73_IFN","D1","2","IFN",1,2,3,0,0,0
"2546","D1_2HCD3CD28_04_Cell_CP_73_TNF","D1","2","TNF",3,0,3,0,0,0
"2547","D1_2HCD3CD28_04_Cell_CP_74_IFN","D1","2","IFN",0,1,1,0,0,0
"2548","D1_2HCD3CD28_04_Cell_CP_74_TNF","D1","2","TNF",1,1,2,0,0,0
"2549","D1_2HCD3CD28_04_Cell_CP_75_IFN","D1","2","IFN",4,1,5,0,0,0
"2550","D1_2HCD3CD28_04_Cell_CP_75_TNF","D1","2","TNF",4,3,7,0,0,0
"2551","D1_2HCD3CD28_04_Cell_CP_76_IFN","D1","2","IFN",25,40,65,0,0,0
"2552","D1_2HCD3CD28_04_Cell_CP_76_TNF","D1","2","TNF",14,23,37,0,0,0
"2553","D1_2HCD3CD28_04_Cell_CP_77_IFN","D1","2","IFN",3,0,3,0,0,0
"2554","D1_2HCD3CD28_04_Cell_CP_77_TNF","D1","2","TNF",5,2,7,0,0,0
"2555","D1_2HCD3CD28_04_Cell_CP_78_IFN","D1","2","IFN",7,3,10,0,0,0
"2556","D1_2HCD3CD28_04_Cell_CP_78_TNF","D1","2","TNF",8,3,11,0,0,0
"2557","D1_2HCD3CD28_04_Cell_CP_79_IFN","D1","2","IFN",1,1,2,0,0,0
"2558","D1_2HCD3CD28_04_Cell_CP_79_TNF","D1","2","TNF",0,1,1,0,0,0
"2559","D1_2HCD3CD28_04_Cell_CP_8_IFN","D1","2","IFN",1,0,1,0,0,0
"2561","D1_2HCD3CD28_04_Cell_CP_80_IFN","D1","2","IFN",28,9,37,0,0,0
"2562","D1_2HCD3CD28_04_Cell_CP_80_TNF","D1","2","TNF",3,12,15,6,3,9
"2563","D1_2HCD3CD28_04_Cell_CP_81_IFN","D1","2","IFN",1,0,1,0,0,0
"2565","D1_2HCD3CD28_04_Cell_CP_83_IFN","D1","2","IFN",1,3,4,0,0,0
"2566","D1_2HCD3CD28_04_Cell_CP_83_TNF","D1","2","TNF",1,0,1,0,0,0
"2567","D1_2HCD3CD28_04_Cell_CP_84_IFN","D1","2","IFN",1,2,3,0,0,0
"2569","D1_2HCD3CD28_04_Cell_CP_85_IFN","D1","2","IFN",7,1,8,0,0,0
"2570","D1_2HCD3CD28_04_Cell_CP_85_TNF","D1","2","TNF",4,1,5,0,0,0
"2571","D1_2HCD3CD28_04_Cell_CP_87_IFN","D1","2","IFN",1,1,2,0,0,0
"2573","D1_2HCD3CD28_04_Cell_CP_88_IFN","D1","2","IFN",6,1,7,0,0,0
"2574","D1_2HCD3CD28_04_Cell_CP_88_TNF","D1","2","TNF",24,12,36,5,0,5
"2575","D1_2HCD3CD28_04_Cell_CP_89_IFN","D1","2","IFN",0,5,5,0,0,0
"2576","D1_2HCD3CD28_04_Cell_CP_89_TNF","D1","2","TNF",2,0,2,0,0,0
"2577","D1_2HCD3CD28_04_Cell_CP_90_IFN","D1","2","IFN",0,1,1,0,0,0
"2578","D1_2HCD3CD28_04_Cell_CP_90_TNF","D1","2","TNF",2,0,2,0,0,0
"2579","D1_2HCD3CD28_04_Cell_CP_91_IFN","D1","2","IFN",3,2,5,0,0,0
"2581","D1_2HCD3CD28_04_Cell_CP_92_IFN","D1","2","IFN",128,95,223,13,0,13
"2582","D1_2HCD3CD28_04_Cell_CP_92_TNF","D1","2","TNF",13,25,38,0,0,0
"2585","D1_2HCD3CD28_04_Cell_CP_95_IFN","D1","2","IFN",10,7,17,0,0,0
"2586","D1_2HCD3CD28_04_Cell_CP_95_TNF","D1","2","TNF",4,5,9,0,0,0
"2587","D1_2HCD3CD28_04_Cell_CP_96_IFN","D1","2","IFN",1,2,3,0,0,0
"2588","D1_2HCD3CD28_04_Cell_CP_96_TNF","D1","2","TNF",3,2,5,0,0,0
"2590","D1_2HCD3CD28_04_Cell_CP_98_TNF","D1","2","TNF",16,7,23,0,0,0
"2591","D1_2HCD3CD28_04_Cell_CP_99_IFN","D1","2","IFN",0,2,2,0,0,0
"2592","D1_2HCD3CD28_04_Cell_CP_99_TNF","D1","2","TNF",17,15,32,3,9,12
"2593","D1_2HCD3CD28_05_Cell_CP_100_IFN","D1","2","IFN",8,5,13,0,0,0
"2594","D1_2HCD3CD28_05_Cell_CP_100_TNF","D1","2","TNF",5,1,6,0,0,0
"2596","D1_2HCD3CD28_05_Cell_CP_101_TNF","D1","2","TNF",8,8,16,0,0,0
"2597","D1_2HCD3CD28_05_Cell_CP_102_IFN","D1","2","IFN",4,1,5,0,0,0
"2601","D1_2HCD3CD28_05_Cell_CP_105_IFN","D1","2","IFN",0,3,3,0,0,0
"2602","D1_2HCD3CD28_05_Cell_CP_105_TNF","D1","2","TNF",10,6,16,0,0,0
"2603","D1_2HCD3CD28_05_Cell_CP_107_IFN","D1","2","IFN",0,2,2,0,0,0
"2604","D1_2HCD3CD28_05_Cell_CP_107_TNF","D1","2","TNF",5,2,7,0,0,0
"2605","D1_2HCD3CD28_05_Cell_CP_108_IFN","D1","2","IFN",4,3,7,0,0,0
"2606","D1_2HCD3CD28_05_Cell_CP_108_TNF","D1","2","TNF",17,9,26,0,0,0
"2607","D1_2HCD3CD28_05_Cell_CP_109_IFN","D1","2","IFN",0,3,3,0,0,0
"2611","D1_2HCD3CD28_05_Cell_CP_110_IFN","D1","2","IFN",0,1,1,0,0,0
"2612","D1_2HCD3CD28_05_Cell_CP_110_TNF","D1","2","TNF",22,13,35,0,0,0
"2613","D1_2HCD3CD28_05_Cell_CP_111_IFN","D1","2","IFN",1,2,3,0,0,0
"2614","D1_2HCD3CD28_05_Cell_CP_111_TNF","D1","2","TNF",1,0,1,0,0,0
"2617","D1_2HCD3CD28_05_Cell_CP_113_IFN","D1","2","IFN",1,0,1,0,0,0
"2619","D1_2HCD3CD28_05_Cell_CP_115_IFN","D1","2","IFN",24,11,35,0,0,0
"2620","D1_2HCD3CD28_05_Cell_CP_115_TNF","D1","2","TNF",14,8,22,0,0,0
"2624","D1_2HCD3CD28_05_Cell_CP_118_TNF","D1","2","TNF",21,4,25,3,5,8
"2625","D1_2HCD3CD28_05_Cell_CP_119_IFN","D1","2","IFN",9,8,17,0,0,0
"2626","D1_2HCD3CD28_05_Cell_CP_119_TNF","D1","2","TNF",25,10,35,5,5,10
"2627","D1_2HCD3CD28_05_Cell_CP_12_IFN","D1","2","IFN",1,1,2,0,0,0
"2628","D1_2HCD3CD28_05_Cell_CP_12_TNF","D1","2","TNF",13,7,20,4,3,7
"2631","D1_2HCD3CD28_05_Cell_CP_121_IFN","D1","2","IFN",0,2,2,0,0,0
"2633","D1_2HCD3CD28_05_Cell_CP_122_IFN","D1","2","IFN",1,4,5,0,0,0
"2634","D1_2HCD3CD28_05_Cell_CP_122_TNF","D1","2","TNF",0,1,1,0,0,0
"2635","D1_2HCD3CD28_05_Cell_CP_123_IFN","D1","2","IFN",0,7,7,0,0,0
"2636","D1_2HCD3CD28_05_Cell_CP_123_TNF","D1","2","TNF",1,3,4,0,0,0
"2637","D1_2HCD3CD28_05_Cell_CP_124_IFN","D1","2","IFN",2,1,3,0,0,0
"2638","D1_2HCD3CD28_05_Cell_CP_124_TNF","D1","2","TNF",13,7,20,7,0,7
"2643","D1_2HCD3CD28_05_Cell_CP_15_IFN","D1","2","IFN",0,2,2,0,0,0
"2645","D1_2HCD3CD28_05_Cell_CP_16_IFN","D1","2","IFN",6,7,13,0,0,0
"2646","D1_2HCD3CD28_05_Cell_CP_16_TNF","D1","2","TNF",4,0,4,0,0,0
"2648","D1_2HCD3CD28_05_Cell_CP_17_TNF","D1","2","TNF",1,0,1,0,0,0
"2649","D1_2HCD3CD28_05_Cell_CP_18_IFN","D1","2","IFN",0,3,3,0,0,0
"2650","D1_2HCD3CD28_05_Cell_CP_18_TNF","D1","2","TNF",22,8,30,0,0,0
"2655","D1_2HCD3CD28_05_Cell_CP_21_IFN","D1","2","IFN",2,3,5,0,0,0
"2656","D1_2HCD3CD28_05_Cell_CP_21_TNF","D1","2","TNF",3,2,5,0,0,0
"2657","D1_2HCD3CD28_05_Cell_CP_22_IFN","D1","2","IFN",0,1,1,0,0,0
"2659","D1_2HCD3CD28_05_Cell_CP_23_IFN","D1","2","IFN",0,1,1,0,0,0
"2660","D1_2HCD3CD28_05_Cell_CP_23_TNF","D1","2","TNF",1,1,2,0,0,0
"2662","D1_2HCD3CD28_05_Cell_CP_25_TNF","D1","2","TNF",0,1,1,0,0,0
"2663","D1_2HCD3CD28_05_Cell_CP_26_IFN","D1","2","IFN",0,1,1,0,0,0
"2664","D1_2HCD3CD28_05_Cell_CP_26_TNF","D1","2","TNF",18,17,35,0,0,0
"2665","D1_2HCD3CD28_05_Cell_CP_27_IFN","D1","2","IFN",1,2,3,0,0,0
"2667","D1_2HCD3CD28_05_Cell_CP_28_IFN","D1","2","IFN",0,2,2,0,0,0
"2668","D1_2HCD3CD28_05_Cell_CP_28_TNF","D1","2","TNF",0,1,1,0,0,0
"2669","D1_2HCD3CD28_05_Cell_CP_29_IFN","D1","2","IFN",4,0,4,0,0,0
"2671","D1_2HCD3CD28_05_Cell_CP_30_IFN","D1","2","IFN",1,0,1,0,0,0
"2673","D1_2HCD3CD28_05_Cell_CP_31_IFN","D1","2","IFN",2,1,3,0,0,0
"2678","D1_2HCD3CD28_05_Cell_CP_33_TNF","D1","2","TNF",1,0,1,0,0,0
"2680","D1_2HCD3CD28_05_Cell_CP_34_TNF","D1","2","TNF",1,0,1,0,0,0
"2682","D1_2HCD3CD28_05_Cell_CP_35_TNF","D1","2","TNF",1,0,1,0,0,0
"2683","D1_2HCD3CD28_05_Cell_CP_36_IFN","D1","2","IFN",1,0,1,0,0,0
"2684","D1_2HCD3CD28_05_Cell_CP_36_TNF","D1","2","TNF",1,0,1,0,0,0
"2686","D1_2HCD3CD28_05_Cell_CP_37_TNF","D1","2","TNF",1,0,1,0,0,0
"2687","D1_2HCD3CD28_05_Cell_CP_38_IFN","D1","2","IFN",0,2,2,0,0,0
"2688","D1_2HCD3CD28_05_Cell_CP_38_TNF","D1","2","TNF",1,0,1,0,0,0
"2690","D1_2HCD3CD28_05_Cell_CP_39_TNF","D1","2","TNF",2,0,2,0,0,0
"2692","D1_2HCD3CD28_05_Cell_CP_40_TNF","D1","2","TNF",0,1,1,0,0,0
"2693","D1_2HCD3CD28_05_Cell_CP_41_IFN","D1","2","IFN",7,5,12,0,0,0
"2694","D1_2HCD3CD28_05_Cell_CP_41_TNF","D1","2","TNF",19,9,28,0,5,5
"2695","D1_2HCD3CD28_05_Cell_CP_43_IFN","D1","2","IFN",10,19,29,0,0,0
"2696","D1_2HCD3CD28_05_Cell_CP_43_TNF","D1","2","TNF",19,24,43,0,0,0
"2697","D1_2HCD3CD28_05_Cell_CP_44_IFN","D1","2","IFN",0,9,9,0,0,0
"2699","D1_2HCD3CD28_05_Cell_CP_45_IFN","D1","2","IFN",5,0,5,0,0,0
"2700","D1_2HCD3CD28_05_Cell_CP_45_TNF","D1","2","TNF",0,1,1,0,0,0
"2701","D1_2HCD3CD28_05_Cell_CP_46_IFN","D1","2","IFN",3,1,4,0,0,0
"2702","D1_2HCD3CD28_05_Cell_CP_46_TNF","D1","2","TNF",2,1,3,0,0,0
"2703","D1_2HCD3CD28_05_Cell_CP_47_IFN","D1","2","IFN",1,2,3,0,0,0
"2705","D1_2HCD3CD28_05_Cell_CP_48_IFN","D1","2","IFN",3,5,8,0,0,0
"2706","D1_2HCD3CD28_05_Cell_CP_48_TNF","D1","2","TNF",4,4,8,3,0,3
"2707","D1_2HCD3CD28_05_Cell_CP_49_IFN","D1","2","IFN",7,5,12,0,0,0
"2708","D1_2HCD3CD28_05_Cell_CP_49_TNF","D1","2","TNF",9,1,10,5,0,5
"2711","D1_2HCD3CD28_05_Cell_CP_50_IFN","D1","2","IFN",2,0,2,0,0,0
"2712","D1_2HCD3CD28_05_Cell_CP_50_TNF","D1","2","TNF",0,1,1,0,0,0
"2713","D1_2HCD3CD28_05_Cell_CP_51_IFN","D1","2","IFN",0,6,6,0,0,0
"2715","D1_2HCD3CD28_05_Cell_CP_52_IFN","D1","2","IFN",12,2,14,0,0,0
"2716","D1_2HCD3CD28_05_Cell_CP_52_TNF","D1","2","TNF",1,2,3,0,0,0
"2718","D1_2HCD3CD28_05_Cell_CP_53_TNF","D1","2","TNF",1,0,1,0,0,0
"2719","D1_2HCD3CD28_05_Cell_CP_54_IFN","D1","2","IFN",2,1,3,0,0,0
"2720","D1_2HCD3CD28_05_Cell_CP_54_TNF","D1","2","TNF",1,0,1,0,0,0
"2721","D1_2HCD3CD28_05_Cell_CP_55_IFN","D1","2","IFN",1,1,2,0,0,0
"2722","D1_2HCD3CD28_05_Cell_CP_55_TNF","D1","2","TNF",1,2,3,0,0,0
"2723","D1_2HCD3CD28_05_Cell_CP_57_IFN","D1","2","IFN",3,2,5,0,0,0
"2724","D1_2HCD3CD28_05_Cell_CP_57_TNF","D1","2","TNF",1,1,2,0,0,0
"2725","D1_2HCD3CD28_05_Cell_CP_58_IFN","D1","2","IFN",3,0,3,0,0,0
"2726","D1_2HCD3CD28_05_Cell_CP_58_TNF","D1","2","TNF",7,3,10,0,0,0
"2727","D1_2HCD3CD28_05_Cell_CP_59_IFN","D1","2","IFN",5,5,10,0,0,0
"2728","D1_2HCD3CD28_05_Cell_CP_59_TNF","D1","2","TNF",0,1,1,0,0,0
"2730","D1_2HCD3CD28_05_Cell_CP_6_TNF","D1","2","TNF",5,1,6,0,0,0
"2732","D1_2HCD3CD28_05_Cell_CP_60_TNF","D1","2","TNF",1,0,1,0,0,0
"2733","D1_2HCD3CD28_05_Cell_CP_61_IFN","D1","2","IFN",0,1,1,0,0,0
"2734","D1_2HCD3CD28_05_Cell_CP_61_TNF","D1","2","TNF",3,0,3,0,0,0
"2735","D1_2HCD3CD28_05_Cell_CP_63_IFN","D1","2","IFN",8,5,13,0,0,0
"2736","D1_2HCD3CD28_05_Cell_CP_63_TNF","D1","2","TNF",2,1,3,0,0,0
"2737","D1_2HCD3CD28_05_Cell_CP_64_IFN","D1","2","IFN",0,1,1,0,0,0
"2738","D1_2HCD3CD28_05_Cell_CP_64_TNF","D1","2","TNF",0,1,1,0,0,0
"2739","D1_2HCD3CD28_05_Cell_CP_65_IFN","D1","2","IFN",28,16,44,0,0,0
"2740","D1_2HCD3CD28_05_Cell_CP_65_TNF","D1","2","TNF",1,0,1,0,0,0
"2741","D1_2HCD3CD28_05_Cell_CP_67_IFN","D1","2","IFN",16,3,19,0,0,0
"2743","D1_2HCD3CD28_05_Cell_CP_68_IFN","D1","2","IFN",0,1,1,0,0,0
