"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"122","D1_0HCD3CD28_02_Cell_CP_81_TNF",NA,NA
"123","D1_0HCD3CD28_02_Cell_CP_82_TNF",NA,NA
"124","D1_0HCD3CD28_02_Cell_CP_83_TNF",NA,NA
"125","D1_0HCD3CD28_02_Cell_CP_84_TNF",NA,NA
"126","D1_0HCD3CD28_02_Cell_CP_85_TNF",NA,NA
"127","D1_0HCD3CD28_02_Cell_CP_86_TNF",NA,NA
"128","D1_0HCD3CD28_02_Cell_CP_87_TNF",NA,NA
"129","D1_0HCD3CD28_02_Cell_CP_89_TNF",NA,NA
"130","D1_0HCD3CD28_03_Cell_CP_11_TNF",NA,NA
"131","D1_0HCD3CD28_03_Cell_CP_13_TNF",NA,NA
"132","D1_0HCD3CD28_03_Cell_CP_16_TNF",NA,NA
"133","D1_0HCD3CD28_03_Cell_CP_18_TNF",NA,NA
"134","D1_0HCD3CD28_03_Cell_CP_19_TNF",NA,NA
"135","D1_0HCD3CD28_03_Cell_CP_20_TNF",NA,NA
"136","D1_0HCD3CD28_03_Cell_CP_24_TNF",NA,NA
"137","D1_0HCD3CD28_03_Cell_CP_27_TNF",NA,NA
"138","D1_0HCD3CD28_03_Cell_CP_28_TNF",NA,NA
"139","D1_0HCD3CD28_03_Cell_CP_32_TNF",NA,NA
"140","D1_0HCD3CD28_03_Cell_CP_36_TNF",NA,NA
"141","D1_0HCD3CD28_03_Cell_CP_38_TNF",NA,NA
"142","D1_0HCD3CD28_03_Cell_CP_39_TNF",NA,NA
"143","D1_0HCD3CD28_03_Cell_CP_43_TNF",NA,NA
"144","D1_0HCD3CD28_03_Cell_CP_44_TNF",NA,NA
"145","D1_0HCD3CD28_03_Cell_CP_45_TNF",NA,NA
"146","D1_0HCD3CD28_03_Cell_CP_46_TNF",NA,NA
"147","D1_0HCD3CD28_03_Cell_CP_47_TNF",NA,NA
"148","D1_0HCD3CD28_03_Cell_CP_48_TNF",NA,NA
"149","D1_0HCD3CD28_03_Cell_CP_49_TNF",NA,NA
"150","D1_0HCD3CD28_03_Cell_CP_5_TNF",NA,NA
"151","D1_0HCD3CD28_03_Cell_CP_51_TNF",NA,NA
"152","D1_0HCD3CD28_03_Cell_CP_52_TNF",NA,NA
"153","D1_0HCD3CD28_03_Cell_CP_53_TNF",NA,NA
